"","ProfileName","ManipulatorPosition.AxisPosition","ManipulatorPosition.AxisPosition.1","ManipulatorPosition.AxisPosition.2","ManipulatorPosition.AxisPosition.3","ManipulatorPosition.AxisPosition.4","CTAxisOffset","XraySettings.Settings.kV","XraySettings.Settings.uA","XrayFilterMaterial","XrayFilterThickness","XrayHead","XrayHeadNumber","ShadingCorrections.CorrectionName","FluxNormalisation","FluxNormalisationRect.Location.X","FluxNormalisationRect.Location.Y","FluxNormalisationRect.Size.Width","FluxNormalisationRect.Size.Height","FluxNormalisationRect.X","FluxNormalisationRect.Y","FluxNormalisationRect.Width","FluxNormalisationRect.Height","IntensifierField","IrisDemand","ImagingSettings.transform","ImagingSettings.imageOffsetX","ImagingSettings.imageOffsetY","ImagingSettings.imageSizeX","ImagingSettings.imageSizeY","ImagingSettings.defaultImagingMode","ImagingSettings..attrs.exposure","ImagingSettings..attrs.gain","ImagingSettings..attrs.brightness","ImagingSettings..attrs.digitalGain","ImagingSettings..attrs.binning","ImagingSettings..attrs.WhiteToBlackLatency","ImagingSettings..attrs.BlackToWhiteLatency","ImagingSettings..attrs.WhiteToWhiteLatency","ImagingSettings..attrs.lines","ImagingSettings..attrs.accumulation","ScanFlatPanel","PanelScanImages","DetectorPixelSizeMM","MinimiseRingArtefacts","Reconstruct","ReconstructionPCName","DualEnergy","ReferenceImageFrames","OptimiseProjections","Projections","FramesPerProjection","VolumeOfInterest.XStart","VolumeOfInterest.XEnd","VolumeOfInterest.YStart","VolumeOfInterest.YEnd","VolumeOfInterest.ZStart","VolumeOfInterest.ZEnd","ReconstructionQuality","BeamHardeningPreset","NoiseReductionPreset","LinearInterpolation","MedianFilterSize","CalculateCentreOfRotation","ApplyRodCorrection","Delay.Hours","Delay.Minutes","Delay.Seconds","DataSetName","SafePosition.AxisPosition","SafePosition.AxisPosition.1","SafePosition.AxisPosition.2","SafePosition.AxisPosition.3","SafePosition.AxisPosition.4","AutomaticShadingCorrection","TallSampleRadius","UseTallSampleROI","ProjectionImageEnhancement","RunVolumeAnalysis","ProfileVersion","filenm"
"22","N_CFRP_WO11375b","0","354.3467","75.15","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2188","1","568","1469","653","1511","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11375b [2015-12-18 18.38.34]/N_CFRP_WO11375b.ctprofile.xml"
"23","N_CFRP_WO11375c","0","488.33","75.15","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2188","1","568","1469","653","1511","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11375c [2015-12-18 21.14.50]/N_CFRP_WO11375c.ctprofile.xml"
"24","N_CFRP_WO11377a","0","225.0415","75.81","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11377a [2015-12-15 15.05.07]/N_CFRP_WO11377a.ctprofile.xml"
"25","N_CFRP_WO11377b","0","359.7","75.81","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11377b [2015-12-15 17.45.02]/N_CFRP_WO11377b.ctprofile.xml"
"26","N_CFRP_WO11377c","0","487.06","75.81","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11377c [2015-12-15 20.24.27]/N_CFRP_WO11377c.ctprofile.xml"
"27","N_CFRP_WO11378a","0","220.32","75.81","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2074","1","581","1448","515","1391","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11378a [2015-12-17 18.08.17]/N_CFRP_WO11378a.ctprofile.xml"
"28","N_CFRP_WO11378b","0","355.4585","75.81","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2074","1","581","1448","515","1391","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11378b [2015-12-17 20.37.00]/N_CFRP_WO11378b.ctprofile.xml"
"29","N_CFRP_WO11378c","0","488.8335","75.81","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2074","1","581","1448","515","1391","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11378c [2015-12-17 23.06.20]/N_CFRP_WO11378c.ctprofile.xml"
"30","N_CFRP_WO11431a","0","220.54","75.84","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11431a [2015-12-16 11.53.43]/N_CFRP_WO11431a.ctprofile.xml"
"31","N_CFRP_WO11431b","0","353.64","75.84","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11431b [2015-12-16 14.33.06]/N_CFRP_WO11431b.ctprofile.xml"
"32","N_CFRP_WO11377c","0","487.06","75.81","0","0","0","200","15","None","0","Reflection 225","0","Generic","false","109","178","238","249","109","178","238","249","0","100","1","2","20","1996","1996","Histogram","1415","4","0","0","0","20000","10000","1000","0","0","false","2","0.2","true","false","RECONPC","false","0","true","2232","1","477","1447","515","1390","0","1993","100","0","0","true","1","true","false","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y:/CT data/JLR_CFRP/N_CFRP_WO11431c [2015-12-17 15.06.50]/N_CFRP_WO11377c.ctprofile.xml"
